"","AV_ID","target_time","mean_yProj","mean_xProj","n_points","lon","lat","date","time","Group"
"185","AV74116",2025-06-29 13:00:00,9929495.34261354,372311.103716043,12,-76.1475012700006,-0.637748711749664,2025-06-29,"13:00:00"," G"
"186","AV74116",2025-06-29 13:15:00,9929516.0573662,372295.915722952,12,-76.1476377,-0.637561306333314,2025-06-29,"13:15:00"," G"
"187","AV74116",2025-06-29 13:30:00,9929517.54558617,372296.820276496,12,-76.1476295691667,-0.637547846500122,2025-06-29,"13:30:00"," G"
"188","AV74116",2025-06-29 13:45:00,9929514.18446239,372298.078702151,12,-76.1476182683336,-0.637578251999956,2025-06-29,"13:45:00"," G"
"189","AV74116",2025-06-29 14:00:00,9929495.92231834,372285.960631301,12,-76.1477271916667,-0.637743417333564,2025-06-29,"14:00:00"," G"
"190","AV74116",2025-06-29 14:15:00,9929534.62373068,372290.629454726,12,-76.1476851625005,-0.637393354084212,2025-06-29,"14:15:00"," G"
"191","AV74116",2025-06-29 14:30:00,9929541.96159241,372289.031077637,12,-76.1476995099999,-0.637326976415897,2025-06-29,"14:30:00"," G"
"192","AV74116",2025-06-29 14:45:00,9929596.10587856,372212.287932292,12,-76.1483889758335,-0.636837060999431,2025-06-29,"14:45:00"," G"
"193","AV74116",2025-06-29 15:00:00,9929527.55768856,372153.701829153,12,-76.1489155375018,-0.637456993586662,2025-06-29,"15:00:00"," G"
"194","AV74116",2025-06-29 15:15:00,9929519.42827061,372165.466971567,12,-76.1488098383335,-0.637530551750108,2025-06-29,"15:15:00"," G"
"195","AV74116",2025-06-29 15:30:00,9929486.76477844,372088.633262079,12,-76.1495002916672,-0.637825853250261,2025-06-29,"15:30:00"," G"
"196","AV74116",2025-06-29 15:45:00,9929522.25062742,372039.018538406,8,-76.1499460324996,-0.637504766874991,2025-06-29,"15:45:00"," G"
"197","AV74117",2025-06-30 06:45:00,9929547.2320927,372040.712832779,12,-76.1499307583314,-0.637278801251212,2025-06-30,"06:45:00"," G"
"198","AV74117",2025-06-30 07:00:00,9929552.1440996,372047.844819825,12,-76.1498666641684,-0.637234384251017,2025-06-30,"07:00:00"," G"
"199","AV74117",2025-06-30 07:15:00,9929613.48949731,372112.546911672,10,-76.1492851619765,-0.63667961690189,2025-06-30,"07:15:00"," G"
"200","AV74117",2025-06-30 07:30:00,9929563.86079946,372200.600328309,12,-76.1484940591579,-0.637128709425269,2025-06-30,"07:30:00"," G"
"201","AV74117",2025-06-30 07:45:00,9929580.01392809,372090.790682371,12,-76.1494807191821,-0.636982375269396,2025-06-30,"07:45:00"," G"
"202","AV74117",2025-06-30 08:00:00,9929528.56383919,372022.190903515,12,-76.1500972241659,-0.637447626925224,2025-06-30,"08:00:00"," G"
"203","AV74117",2025-06-30 08:15:00,9929548.20520727,372037.87841235,12,-76.1499562250002,-0.637269993250399,2025-06-30,"08:15:00"," G"
"204","AV74117",2025-06-30 08:30:00,9929549.47031395,372035.517190625,12,-76.1499774391666,-0.637258544999965,2025-06-30,"08:30:00"," G"
"205","AV74117",2025-06-30 08:45:00,9929545.34504421,372041.667849767,12,-76.1499221808333,-0.637295872416747,2025-06-30,"08:45:00"," G"
"206","AV74117",2025-06-30 09:00:00,9929543.34888088,372041.553109588,12,-76.1499232158332,-0.637313928416711,2025-06-30,"09:00:00"," G"
"207","AV74117",2025-06-30 09:15:00,9929545.96119018,372041.459227653,12,-76.1499240541666,-0.637290298666664,2025-06-30,"09:15:00"," G"
"208","AV74117",2025-06-30 09:30:00,9929574.37898133,372024.150519408,12,-76.1500795241667,-0.637033211500183,2025-06-30,"09:30:00"," G"
"209","AV74117",2025-06-30 09:45:00,9929598.80528126,372058.990186776,12,-76.149766424166,-0.636812334500928,2025-06-30,"09:45:00"," G"
"210","AV74117",2025-06-30 10:00:00,9929620.32630975,372109.958191431,12,-76.1493084091723,-0.636617769499473,2025-06-30,"10:00:00"," G"
"211","AV74117",2025-06-30 10:15:00,9929717.81032806,372161.342296821,12,-76.1488465033301,-0.635736084167197,2025-06-30,"10:15:00"," G"
"212","AV74117",2025-06-30 10:30:00,9929747.38528538,372180.697328402,12,-76.14867253,-0.635468603666998,2025-06-30,"10:30:00"," G"
"213","AV74117",2025-06-30 10:45:00,9929766.01944446,372181.534449898,12,-76.1486649708335,-0.63530005058333,2025-06-30,"10:45:00"," G"
"214","AV74117",2025-06-30 11:00:00,9929803.6569825,372183.592845473,12,-76.1486463999999,-0.634959605416879,2025-06-30,"11:00:00"," G"
"215","AV74117",2025-06-30 11:15:00,9929809.82378511,372194.196179576,12,-76.1485511116668,-0.634903845083656,2025-06-30,"11:15:00"," G"
"216","AV74117",2025-06-30 11:30:00,9929824.01863318,372191.761510264,12,-76.1485729600002,-0.634775441083285,2025-06-30,"11:30:00"," G"
"217","AV74117",2025-06-30 11:45:00,9929886.92740896,372153.126884675,12,-76.1489199850003,-0.634206323916279,2025-06-30,"11:45:00"," G"
"218","AV74117",2025-06-30 12:00:00,9929939.34861041,372189.546084199,12,-76.1485926366665,-0.633732222500393,2025-06-30,"12:00:00"," G"
"219","AV74117",2025-06-30 12:15:00,9929939.57580908,372190.311806616,12,-76.1485857558337,-0.633730168917082,2025-06-30,"12:15:00"," G"
"220","AV74117",2025-06-30 12:30:00,9929936.85360659,372203.386101124,12,-76.1484682825001,-0.633754818749949,2025-06-30,"12:30:00"," G"
"221","AV74117",2025-06-30 12:45:00,9929938.43062802,372190.293233923,12,-76.1485859250001,-0.633740527583549,2025-06-30,"12:45:00"," G"
"222","AV74117",2025-06-30 13:00:00,9929934.31262961,372201.389460074,12,-76.1484862283333,-0.633777799083318,2025-06-30,"13:00:00"," G"
"223","AV74117",2025-06-30 13:15:00,9929947.60942468,372199.211334801,12,-76.1485057733333,-0.633657518916852,2025-06-30,"13:15:00"," G"
"224","AV74117",2025-06-30 13:30:00,9929940.32217063,372195.642559033,12,-76.1485378550002,-0.633723428416728,2025-06-30,"13:30:00"," G"
"225","AV74117",2025-06-30 13:45:00,9929932.74141891,372184.933900159,12,-76.1486340925001,-0.633791978416672,2025-06-30,"13:45:00"," G"
"226","AV74117",2025-06-30 14:00:00,9929944.60423348,372182.737543856,12,-76.1486538041667,-0.63368466925004,2025-06-30,"14:00:00"," G"
"227","AV74117",2025-06-30 14:15:00,9929943.76927724,372150.507842863,12,-76.148943405,-0.633692157166655,2025-06-30,"14:15:00"," G"
"228","AV74117",2025-06-30 14:30:00,9929946.43346817,372084.746758767,12,-76.1495342941669,-0.633667926333249,2025-06-30,"14:30:00"," G"
"229","AV74117",2025-06-30 14:45:00,9929953.53720045,372023.277994681,12,-76.1500866058336,-0.633603546334216,2025-06-30,"14:45:00"," G"
"230","AV74117",2025-06-30 15:00:00,9929949.96665001,371933.361763935,12,-76.1508945525007,-0.633635662999826,2025-06-30,"15:00:00"," G"
"231","AV74117",2025-06-30 15:15:00,9929932.14601393,371910.134509261,12,-76.1511032958365,-0.63379681224825,2025-06-30,"15:15:00"," G"
"232","AV74117",2025-06-30 15:30:00,9929927.56616922,371816.714297762,12,-76.1519427291666,-0.633838051170207,2025-06-30,"15:30:00"," G"
"233","AV74117",2025-06-30 15:45:00,9929786.95889492,371781.101381215,12,-76.1522630091674,-0.635109837081901,2025-06-30,"15:45:00"," G"
"234","AV74117",2025-06-30 16:00:00,9929725.7089552,371800.91819651,7,-76.1520850685712,-0.63566391100017,2025-06-30,"16:00:00"," G"
"235","AV74118",2025-07-01 06:15:00,9929439.39423721,371885.549530591,9,-76.1513251911111,-0.638253931111092,2025-07-01,"06:15:00"," G"
"236","AV74118",2025-07-01 06:30:00,9929440.51223018,371898.58915243,12,-76.1512080216667,-0.638243844750031,2025-07-01,"06:30:00"," G"
"237","AV74119",2025-07-01 07:15:00,9929472.61915222,371931.125228667,12,-76.1509156050003,-0.637953488583446,2025-07-01,"07:15:00"," G"
"238","AV74119",2025-07-01 07:30:00,9929463.86005803,371944.882441723,12,-76.1507920075001,-0.63803274650003,2025-07-01,"07:30:00"," G"
"239","AV74119",2025-07-01 07:45:00,9929463.76021981,371940.475815695,12,-76.1508316033333,-0.638033640666714,2025-07-01,"07:45:00"," G"
"240","AV74119",2025-07-01 08:00:00,9929460.0774189,371946.539293595,12,-76.1507771275002,-0.638066965583557,2025-07-01,"08:00:00"," G"
"241","AV74119",2025-07-01 08:15:00,9929457.66652039,371939.192976857,12,-76.1508431425,-0.638088758416658,2025-07-01,"08:15:00"," G"
"242","AV74119",2025-07-01 08:30:00,9929458.4922461,371940.382211576,12,-76.1508324550001,-0.638081291750029,2025-07-01,"08:30:00"," G"
"243","AV74119",2025-07-01 08:45:00,9929461.01547442,371942.411960616,12,-76.1508142116666,-0.638058472083382,2025-07-01,"08:45:00"," G"
"244","AV74119",2025-07-01 09:00:00,9929459.84886407,371943.177994395,12,-76.1508073308334,-0.638069026166799,2025-07-01,"09:00:00"," G"
"245","AV74119",2025-07-01 09:15:00,9929460.71879455,371938.199488148,12,-76.1508520633333,-0.638061147166718,2025-07-01,"09:15:00"," G"
"246","AV74119",2025-07-01 09:30:00,9929462.41836928,371951.845759966,12,-76.1507294416674,-0.638045801334909,2025-07-01,"09:30:00"," G"
"247","AV74119",2025-07-01 09:45:00,9929472.48187209,372028.60199927,12,-76.15003973,-0.637954927499992,2025-07-01,"09:45:00"," G"
"248","AV74119",2025-07-01 10:00:00,9929475.37304343,372018.502558163,12,-76.150130472501,-0.637928755083975,2025-07-01,"10:00:00"," G"
"249","AV74119",2025-07-01 10:15:00,9929495.13368646,371970.235540018,12,-76.150564135,-0.637749913249959,2025-07-01,"10:15:00"," G"
"250","AV74119",2025-07-01 10:30:00,9929494.2085433,371973.441382845,12,-76.1505353308333,-0.637758288083456,2025-07-01,"10:30:00"," G"
"251","AV74119",2025-07-01 10:45:00,9929491.73851448,371971.102882636,12,-76.1505563483333,-0.637780625916723,2025-07-01,"10:45:00"," G"
"252","AV74119",2025-07-01 11:00:00,9929523.24006122,372024.591150118,12,-76.1500756674889,-0.637495787835587,2025-07-01,"11:00:00"," G"
"253","AV74119",2025-07-01 11:15:00,9929516.72715142,372027.238725283,12,-76.1500518908338,-0.637554705499802,2025-07-01,"11:15:00"," G"
"254","AV74119",2025-07-01 11:30:00,9929482.14685493,372053.359511022,12,-76.1498172524995,-0.637867553252984,2025-07-01,"11:30:00"," G"
"255","AV74119",2025-07-01 11:45:00,9929478.07916774,372068.340051326,12,-76.1496826533336,-0.637904377666629,2025-07-01,"11:45:00"," G"
"256","AV74119",2025-07-01 12:00:00,9929468.19997417,372132.12488038,12,-76.1491095358339,-0.637993868500423,2025-07-01,"12:00:00"," G"
"257","AV74119",2025-07-01 12:15:00,9929413.06278791,372147.226632854,12,-76.1489739499999,-0.638492640833206,2025-07-01,"12:15:00"," G"
